PARTKEY|SIZE
1|7|
2|1|
3|21|
4|14|
5|15|
6|4|
7|45|
8|41|
9|12|
10|44|
11|43|
12|25|
13|1|
14|28|
15|45|
16|2|
17|16|
18|42|
19|33|
20|48|
21|31|
22|19|
23|42|
24|20|
25|3|
26|32|
27|20|
28|19|
29|7|
30|17|
31|10|
32|31|
33|16|
34|8|
35|14|
36|3|
37|48|
38|11|
39|43|
40|27|
41|7|
42|45|
43|5|
44|48|
45|9|
46|45|
47|14|
48|27|
49|31|
50|25|
51|34|
52|25|
53|32|
54|19|
55|9|
56|20|
57|49|
58|44|
59|2|
60|27|
61|18|
62|39|
63|10|
64|1|
65|3|
66|46|
67|31|
68|10|
69|2|
70|42|
71|26|
72|25|
73|35|
74|25|
75|39|
76|9|
77|13|
78|24|
79|22|
80|28|
81|21|
82|12|
83|47|
84|26|
85|16|
86|37|
87|41|
88|16|
89|7|
90|49|
91|32|
92|35|
93|2|
94|32|
95|36|
96|32|
97|49|
98|22|
99|11|
100|4|
101|26|
102|17|
103|45|
104|36|
105|27|
106|28|
107|12|
108|41|
109|11|
110|46|
111|28|
112|42|
113|23|
114|41|
115|24|
116|33|
117|25|
118|31|
119|30|
120|45|
121|13|
122|8|
123|31|
124|1|
125|17|
126|4|
127|14|
128|5|
129|20|
130|26|
131|43|
132|2|
133|19|
134|35|
135|24|
136|2|
137|25|
138|42|
139|7|
140|45|
141|23|
142|36|
143|44|
144|26|
145|24|
146|11|
147|29|
148|20|
149|6|
150|21|
151|45|
152|48|
153|20|
154|1|
155|28|
156|2|
157|26|
158|47|
159|46|
160|47|
161|17|
162|35|
163|34|
164|35|
165|24|
166|4|
167|46|
168|20|
169|10|
170|28|
171|40|
172|28|
173|17|
174|25|
175|45|
176|40|
177|42|
178|10|
179|20|
180|7|
181|19|
182|11|
183|35|
184|42|
185|4|
186|15|
187|45|
188|9|
189|13|
190|23|
191|36|
192|17|
193|31|
194|7|
195|40|
196|3|
197|18|
198|43|
199|23|
200|22|
201|18|
202|49|
203|42|
204|22|
205|2|
206|23|
207|48|
208|5|
209|6|
210|5|
211|43|
212|42|
213|14|
214|30|
215|19|
216|35|
217|44|
218|24|
219|31|
220|25|
221|7|
222|35|
223|29|
224|46|
225|23|
226|7|
227|21|
228|12|
229|19|
230|20|
231|17|
232|50|
233|25|
234|26|
235|4|
236|31|
237|49|
238|35|
239|36|
240|1|
241|3|
242|42|
243|49|
244|48|
245|39|
246|18|
247|4|
248|8|
249|15|
250|35|
251|41|
252|22|
253|16|
254|10|
255|24|
256|2|
257|11|
258|18|
259|41|
260|10|
261|44|
262|16|
263|46|
264|23|
265|19|
266|25|
267|41|
268|8|
269|5|
270|45|
271|32|
272|39|
273|50|
274|46|
275|37|
276|5|
277|49|
278|49|
279|27|
280|33|
281|7|
282|44|
283|8|
284|9|
285|42|
286|1|
287|27|
288|31|
289|40|
290|19|
291|26|
292|2|
293|24|
294|35|
295|49|
296|28|
297|23|
298|13|
299|26|
300|1|
301|6|
302|34|
303|7|
304|12|
305|6|
306|25|
307|30|
308|40|
309|49|
310|32|
311|18|
312|29|
313|13|
314|14|
315|20|
316|9|
317|34|
318|20|
319|44|
320|26|
321|9|
322|32|
323|15|
324|36|
325|22|
326|48|
327|14|
328|24|
329|21|
330|18|
331|15|
332|14|
333|1|
334|32|
335|3|
336|3|
337|29|
338|26|
339|14|
340|3|
341|34|
342|37|
343|7|
344|39|
345|22|
346|8|
347|28|
348|16|
349|12|
350|25|
351|48|
352|44|
353|43|
354|38|
355|16|
356|46|
357|19|
358|39|
359|19|
360|14|
361|42|
362|9|
363|16|
364|21|
365|8|
366|46|
367|2|
368|8|
369|11|
370|46|
371|27|
372|35|
373|37|
374|18|
375|16|
376|44|
377|16|
378|45|
379|5|
380|6|
381|37|
382|4|
383|45|
384|2|
385|41|
386|4|
387|23|
388|20|
389|16|
390|24|
391|18|
392|21|
393|36|
394|33|
395|9|
396|37|
397|3|
398|32|
399|37|
400|32|
401|10|
402|16|
403|19|
404|9|
405|17|
406|43|
407|39|
408|4|
409|40|
410|36|
411|17|
412|33|
413|49|
414|50|
415|42|
416|11|
417|31|
418|32|
419|42|
420|15|
421|36|
422|16|
423|2|
424|9|
425|23|
426|42|
427|47|
428|14|
429|21|
430|34|
431|30|
432|6|
433|2|
434|20|
435|17|
436|50|
437|17|
438|31|
439|32|
440|22|
441|24|
442|22|
443|10|
444|42|
445|47|
446|11|
447|22|
448|31|
449|47|
450|23|
451|28|
452|48|
453|20|
454|32|
455|18|
456|40|
457|46|
458|38|
459|27|
460|47|
461|44|
462|11|
463|48|
464|34|
465|12|
466|12|
467|48|
468|24|
469|43|
470|38|
471|21|
472|24|
473|2|
474|45|
475|30|
476|33|
477|35|
478|11|
479|35|
480|31|
481|17|
482|11|
483|9|
484|34|
485|44|
486|15|
487|43|
488|47|
489|36|
490|11|
491|42|
492|13|
493|8|
494|40|
495|28|
496|11|
497|1|
498|21|
499|38|
500|13|
501|37|
502|6|
503|30|
504|10|
505|32|
506|30|
507|20|
508|40|
509|30|
510|25|
511|2|
512|18|
513|10|
514|10|
515|37|
516|28|
517|30|
518|33|
519|24|
520|49|
521|21|
522|15|
523|7|
524|17|
525|47|
526|47|
527|39|
528|40|
529|33|
530|45|
531|16|
532|45|
533|38|
534|27|
535|17|
536|36|
537|26|
538|24|
539|4|
540|7|
541|34|
542|40|
543|4|
544|42|
545|14|
546|8|
547|48|
548|28|
549|36|
550|27|
551|10|
552|1|
553|1|
554|31|
555|49|
556|49|
557|8|
558|25|
559|27|
560|37|
561|44|
562|16|
563|39|
564|41|
565|9|
566|19|
567|19|
568|6|
569|46|
570|44|
571|1|
572|3|
573|42|
574|36|
575|10|
576|27|
577|34|
578|9|
579|8|
580|30|
581|44|
582|23|
583|35|
584|42|
585|7|
586|11|
587|35|
588|45|
589|3|
590|38|
591|40|
592|7|
593|20|
594|28|
595|23|
596|35|
597|36|
598|9|
599|30|
600|4|
601|13|
602|8|
603|41|
604|19|
605|30|
606|36|
607|13|
608|35|
609|49|
610|38|
611|45|
612|19|
613|22|
614|6|
615|4|
616|1|
617|37|
618|9|
619|46|
620|4|
621|47|
622|19|
623|8|
624|29|
625|38|
626|23|
627|13|
628|40|
629|25|
630|20|
631|34|
632|2|
633|24|
634|34|
635|49|
636|36|
637|48|
638|37|
639|33|
640|20|
641|18|
642|12|
643|8|
644|34|
645|45|
646|21|
647|38|
648|2|
649|33|
650|40|
651|4|
652|39|
653|28|
654|2|
655|23|
656|17|
657|36|
658|27|
659|20|
660|8|
661|35|
662|35|
663|6|
664|26|
665|14|
666|20|
667|42|
668|10|
669|37|
670|24|
671|31|
672|13|
673|26|
674|5|
675|2|
676|45|
677|6|
678|15|
679|50|
680|44|
681|9|
682|48|
683|1|
684|6|
685|36|
686|15|
687|47|
688|38|
689|22|
690|31|
691|3|
692|20|
693|14|
694|35|
695|19|
696|3|
697|8|
698|44|
699|5|
700|31|
701|36|
702|26|
703|20|
704|23|
705|47|
706|6|
707|17|
708|29|
709|16|
710|27|
711|24|
712|25|
713|20|
714|35|
715|28|
716|37|
717|28|
718|24|
719|49|
720|8|
721|33|
722|43|
723|34|
724|28|
725|11|
726|41|
727|35|
728|27|
729|6|
730|8|
731|34|
732|1|
733|1|
734|34|
735|44|
736|44|
737|25|
738|29|
739|24|
740|7|
741|33|
742|30|
743|4|
744|47|
745|25|
746|31|
747|20|
748|32|
749|16|
750|47|
751|17|
752|1|
753|13|
754|42|
755|12|
756|44|
757|12|
758|25|
759|20|
760|6|
761|7|
762|35|
763|50|
764|11|
765|3|
766|20|
767|50|
768|41|
769|8|
770|7|
771|17|
772|33|
773|16|
774|26|
775|2|
776|21|
777|50|
778|20|
779|26|
780|31|
781|22|
782|29|
783|4|
784|47|
785|41|
786|20|
787|35|
788|10|
789|14|
790|35|
791|24|
792|8|
793|28|
794|47|
795|46|
796|50|
797|10|
798|18|
799|7|
800|29|
801|18|
802|41|
803|50|
804|9|
805|8|
806|45|
807|25|
808|36|
809|17|
810|13|
